date,singles_number,order_finished,clincher,player1_school,player2_school,player1_name,player2_name,score,match_winner,home_team_record,away_team_record
2026-02-26,6,4,False,UCLA,San Diego,Bengt Reinhard,Neo Niedner,"6-2, 2-6, 4-6",Neo Niedner,7-3,6-3
2026-02-21,1,5,False,UCLA,USC,Spencer Johnson,Branko Djuric,"4-6, 6-2, 6-3",Spencer Johnson,8-3,5-3
2026-02-21,2,2,False,UCLA,USC,Rudy Quan,Nathan Trouve,"7-5, 7-5",Rudy Quan,8-3,5-3
2026-02-21,3,1,False,UCLA,USC,Emon van Loben Sels,Jack McCarthy,"6-4, 6-1",Emon van Loben Sels,8-3,5-3
2026-02-21,4,4,False,UCLA,USC,Andy Nguyen,Max Exsted,"3-6, 6-7(3)",Max Exsted,8-3,5-3
2026-02-21,5,3,False,UCLA,USC,Aadarsh Tripathi,Andrin Casanova,"6-1, 0-6, 5-7",Andrin Casanova,8-3,5-3
2026-02-21,6,6,True,UCLA,USC,Cassius Chinlund,Niels Hoffmann,"6-7(6), 6-1, 1-6",Niels Hoffmann,8-3,5-3
2026-02-15,1,5,False,UNLV,UCLA,Ilia Snitari,Spencer Johnson,"3-6, 7-5, 0-1",Spencer Johnson,5-2,5-3
2026-02-15,2,2,False,UNLV,UCLA,Marko Maksimovic,Rudy Quan,"2-6, 2-6",Rudy Quan,5-2,5-3
2026-02-15,3,3,False,UNLV,UCLA,Illia Maksymchuk,Emon van Loben Sels,"4-6, 1-6",Emon van Loben Sels,5-2,5-3
2026-02-15,4,1,False,UNLV,UCLA,Michael Kouame,Andy Nguyen,"1-6, 0-6",Andy Nguyen,5-2,5-3
2026-02-15,5,6,True,UNLV,UCLA,Vitaliy Horovoy,Cassius Chinlund,"4-6, 6-7(3)",Cassius Chinlund,5-2,5-3
2026-02-15,6,4,False,UNLV,UCLA,Taiyo Hirano,Gianluca Ballotta,"6-7(5), 2-6",Gianluca Ballotta,5-2,5-3
2026-02-07,1,4,False,UCLA,Pepperdine,Spencer Johnson,Edward Winter,"1-6, 6-2, 6-4",Spencer Johnson,5-3,4-2
2026-02-07,2,5,True,UCLA,Pepperdine,Rudy Quan,Maxi Homberg,"6-0, 3-6, 6-4",Rudy Quan,5-3,4-2
2026-02-07,3,0,False,UCLA,Pepperdine,Emon van Loben Sels,Lasse Poertner,"6-3, 4-6, 2-4",Unfinished,5-3,4-2
2026-02-07,4,3,False,UCLA,Pepperdine,Andy Nguyen,Aleksa Pisaric,"1-6, 5-7",Aleksa Pisaric,5-3,4-2
2026-02-07,5,2,False,UCLA,Pepperdine,Aadarsh Tripathi,Ribeiro de Almeida,"5-7, 4-6",Ribeiro de Almeida,5-3,4-2
2026-02-07,6,1,False,UCLA,Pepperdine,Cassius Chinlund,David Fix,"6-1, 6-2",Cassius Chinlund,5-3,4-2
2026-02-01,1,2,False,UCLA,California,Spencer Johnson,Lechno-Wasiutynski,"7-6(6), 6-3",Spencer Johnson,4-4,3-2
2026-02-01,2,4,False,UCLA,California,Rudy Quan,Tiago Silva,"6-4, 7-5",Rudy Quan,4-4,3-2
2026-02-01,3,6,True,UCLA,California,Emon van Loben Sels,Timofey Stepanov,"1-6, 6-4, 7-6(4)",Emon van Loben Sels,4-4,3-2
2026-02-01,4,3,False,UCLA,California,Andy Nguyen,Lenn Luemkemann,"6-4, 6-3",Andy Nguyen,4-4,3-2
2026-02-01,5,5,False,UCLA,California,Aadarsh Tripathi,Bernardo Munk Mesa,"7-5, 3-6, 2-6",Bernardo Munk Mesa,4-4,3-2
2026-02-01,6,1,False,UCLA,California,Cassius Chinlund,Paris Pouatcha,"3-6, 4-6",Paris Pouatcha,4-4,3-2
2026-01-31,1,5,True,UCLA,Stanford,Spencer Johnson,Samir Banerjee,"3-6, 6-7(13)",Samir Banerjee,5-0,2-2
2026-01-31,2,0,False,UCLA,Stanford,Rudy Quan,Alex Chang,"7-6(6), 5-5",Unfinished,5-0,2-2
2026-01-31,3,3,False,UCLA,Stanford,Emon van Loben Sels,Hudson Rivera,"3-6, 4-6",Hudson Rivera,5-0,2-2
2026-01-31,4,4,False,UCLA,Stanford,Andy Nguyen,Jagger Leach,"4-6, 3-6",Jagger Leach,5-0,2-2
2026-01-31,5,1,False,UCLA,Stanford,Aadarsh Tripathi,Alex Razeghi,"4-6, 1-6",Alex Razeghi,5-0,2-2
2026-01-31,6,2,False,UCLA,Stanford,Cassius Chinlund,Mark Krupkin,"7-5, 6-4",Cassius Chinlund,5-0,2-2
2026-01-24,1,2,False,UC Santa Barbara,UCLA,Lucca Liu,Rudy Quan,"6-3, 6-4",Lucca Liu,2-1,3-0
2026-01-24,2,0,False,UC Santa Barbara,UCLA,Dominique Rolland,Spencer Johnson,"3-6, 4-5",Unfinished,2-1,3-0
2026-01-24,3,0,False,UC Santa Barbara,UCLA,Miguel Avendano,Emon van Loben Sels,"3-6, 3-5",Unfinished,2-1,3-0
2026-01-24,4,4,True,UC Santa Barbara,UCLA,Diogo Morais,Andy Nguyen,"6-2, 6-3",Diogo Morais,2-1,3-0
2026-01-24,5,1,False,UC Santa Barbara,UCLA,Carson Lee,Aadarsh Tripathi,"1-6, 1-6",Aadarsh Tripathi,2-1,3-0
2026-01-24,6,3,False,UC Santa Barbara,UCLA,Charlie Underwood,Gianluca Ballotta,"6-3, 6-2",Charlie Underwood,2-1,3-0
2026-01-23,1,0,False,New Mexico,UCLA,Dario Ciobotaru,Rudy Quan,"3-6, 1-4",Unfinished,2-0,2-1
2026-01-23,2,2,False,New Mexico,UCLA,Jakub Prachar,Spencer Johnson,"3-6, 1-6",Spencer Johnson,2-0,2-1
2026-01-23,3,0,False,New Mexico,UCLA,Philip Bosin,Emon van Loben Sels,"4-6, 2-2",Unfinished,2-0,2-1
2026-01-23,4,0,False,New Mexico,UCLA,Alberto Perez,Gianluca Ballotta,"6-2, 0-6",Unfinished,2-0,2-1
2026-01-23,5,3,True,New Mexico,UCLA,Tyler Waddock,Cassius Chinlund,"3-6, 2-6",Cassius Chinlund,2-0,2-1
2026-01-23,6,1,False,New Mexico,UCLA,Carl Labitzke,Bengt Reinhard,"1-6, 1-6",Bengt Reinhard,2-0,2-1
2026-01-17,1,6,True,UC Irvine,UCLA,Hiroki Sakagawa,Spencer Johnson,"6-4, 6-7(1), 0-1",Spencer Johnson,1-0,0-1
2026-01-17,2,2,False,UC Irvine,UCLA,Tal Goodman,Rudy Quan,"2-6, 2-6",Rudy Quan,1-0,0-1
2026-01-17,3,4,False,UC Irvine,UCLA,Max Fardanesh,Emon van Loben Sels,"6-3, 2-6, 4-6",Emon van Loben Sels,1-0,0-1
2026-01-17,4,5,False,UC Irvine,UCLA,Sohrob Amiryavari,Andy Nguyen,"6-7(5), 6-1, 0-1",Andy Nguyen,1-0,0-1
2026-01-17,5,1,False,UC Irvine,UCLA,Ruining Huang,Gianluca Ballotta,"1-6, 2-6",Gianluca Ballotta,1-0,0-1
2026-01-17,6,3,False,UC Irvine,UCLA,Greg Gamal,Cassius Chinlund,"5-7, 3-6",Cassius Chinlund,1-0,0-1
