Event Name,Date,Player1,Player2,Player1 UTR,Player2 UTR,Score
"Dual Match: University of Washington vs University of California, Los Angeles",2025-03-29,Kaylan Bigun,Soham Purohit,13.24,12.0,"5-7, 6-1"
"Dual Match: University of Washington vs University of California, Los Angeles",2025-03-29,Rudy Quan,Cesar BOUCHELAGHEM,13.59,13.51,"6-4, 4-4"
"Dual Match: University of Washington vs University of California, Los Angeles",2025-03-29,Giacomo Revelli,Rohan Belday,12.0,11.93,"6-1, 6-4"
"Dual Match: University of Washington vs University of California, Los Angeles",2025-03-29,Emon Van Loben Sels,Dzianis ZHARYN,13.59,13.0,"6-3, 5-4"
"Dual Match: University of Washington vs University of California, Los Angeles",2025-03-29,Aadarsh Tripathi,Ivan Sodan,12.91,12.0,"6-4, 6-2"
"Dual Match: University of Washington vs University of California, Los Angeles",2025-03-29,Alexander Hoogmartens,Nedim Suko,13.0,12.29,"6-2, 6-3"
"Dual Match: University of Oregon vs University of California, Los Angeles",2025-03-28,Giacomo Revelli,Lachlan Robertson,12.0,12.0,"6-0, 6-2"
"Dual Match: University of Oregon vs University of California, Los Angeles",2025-03-28,Gianluca Ballotta,Matthew BURTON,12.0,12.0,"3-6, 6-2, 1-1"
"Dual Match: University of Oregon vs University of California, Los Angeles",2025-03-28,Emon Van Loben Sels,Vlad Cristian Breazu,13.59,12.91,"6-2, 6-4"
"Dual Match: University of Oregon vs University of California, Los Angeles",2025-03-28,Aadarsh Tripathi,Clement LEMIRE,12.91,12.0,"4-6, 4-3"
"Dual Match: University of Oregon vs University of California, Los Angeles",2025-03-28,Rudy Quan,Lenn Luemkemann,13.59,12.0,"6-3, 5-3"
"Dual Match: University of Oregon vs University of California, Los Angeles",2025-03-28,Kaylan Bigun,Paris Pouatcha,13.24,12.0,"6-3, 6-3"
"Dual Match: University of California, Los Angeles vs Northwestern University",2025-03-22,Chad Miller,Gianluca Ballotta,12.0,12.0,"4-6, 6-3"
"Dual Match: University of California, Los Angeles vs Northwestern University",2025-03-22,Emon Van Loben Sels,Felix Benjamin Nordby,13.59,12.0,"6-2, 6-4"
"Dual Match: University of California, Los Angeles vs Northwestern University",2025-03-22,Aadarsh Tripathi,Max Bengtsson,12.91,12.0,"6-2, 7-5"
"Dual Match: University of California, Los Angeles vs Northwestern University",2025-03-22,Giacomo Revelli,Vincent Yang,12.0,11.0,"6-3, 6-4"
"Dual Match: University of California, Los Angeles vs Northwestern University",2025-03-22,Saiprakash Goli,Rudy Quan,12.0,13.59,"7-5, 3-3"
"Dual Match: University of California, Los Angeles vs Northwestern University",2025-03-22,Greyson Casey,Alexander Hoogmartens,12.0,13.0,"5-7, 4-3"
"Dual Match: University of California, Los Angeles vs University of Illinois at Urbana-Champaign",2025-03-20,William Mroz,Kaylan Bigun,13.3,13.24,"6-2, 3-6, 4-0"
"Dual Match: University of California, Los Angeles vs University of Illinois at Urbana-Champaign",2025-03-20,Emon Van Loben Sels,Jeremy Zhang,13.59,12.2,"6-1, 6-4"
"Dual Match: University of California, Los Angeles vs University of Illinois at Urbana-Champaign",2025-03-20,Alexander Hoogmartens,Tyler Bowers,13.0,12.74,"6-1, 6-0"
