Event Name,Date,Player1,Player1 UTR,Player2,Player2 UTR,Score,Searched Name
USTA Boys' 16 & 18 National Championships,2022-08-13,Aadarsh Tripathi,13.01,James Lian,11.0,"7-6(4), 6-3",Aadarsh Tripathi
USTA Boys' 16 & 18 National Championships,2022-08-13,Aadarsh Tripathi,13.01,Alexander Chang,13.11,"6-2, 6-1",Aadarsh Tripathi
USTA Boys' 16 & 18 National Championships,2022-08-13,Jack Anthrop,13.74,Aadarsh Tripathi,13.01,"6-3, 6-7(7), 6-4",Aadarsh Tripathi
PTT $25K Newport Beach Men,2022-07-22,Nate Bonetto,0.0,Aadarsh Tripathi,13.01,"6-3, 6-2",Aadarsh Tripathi
135th Annual Southern California Open Sectional Championships ($20K),2022-07-07,Jean-Baptiste Badon,13.0,Aadarsh Tripathi,13.01,"6-1, 6-3",Aadarsh Tripathi
135th Annual Southern California Open Sectional Championships ($20K),2022-07-06,Aadarsh Tripathi,13.01,Jayson Blando,12.24,"6-2, 6-3",Aadarsh Tripathi
135th Annual Southern California Open Sectional Championships ($20K),2022-07-06,Aadarsh Tripathi,13.01,Justin Lamy,0.0,"6-0, 6-2",Aadarsh Tripathi
PTT $25K Newport Beach Men,2022-05-29,Aadarsh Tripathi,13.01,LUCCA LIU,13.53,"2-6, 6-3, 6-4",Aadarsh Tripathi
PTT $25K Newport Beach Men,2022-05-28,Aadarsh Tripathi,13.01,Dominique Rolland,13.06,,Aadarsh Tripathi
PTT $25K Newport Beach Men,2022-05-26,Aadarsh Tripathi,13.01,Dylan Tsoi,12.0,"5-7, 6-3, 6-4",Aadarsh Tripathi
PTT $25K Newport Beach Men,2022-04-03,Aadarsh Tripathi,13.01,Robert Shelton,0.0,"2-6, 6-1, 6-1",Aadarsh Tripathi
PTT $25K Newport Beach Men,2022-04-02,Aadarsh Tripathi,13.01,Teddy Truwit,12.0,,Aadarsh Tripathi
"NEWPORT BEACH $25,000 WILD CARD TOURNAMENT + $2000 PRIZE MONEY (FEB 19-21)",2022-02-20,Emon Van Loben Sels,13.4,Aadarsh Tripathi,13.01,"6-4, 4-6, 1-0(11)",Aadarsh Tripathi
"NEWPORT BEACH $25,000 WILD CARD TOURNAMENT + $2000 PRIZE MONEY (FEB 19-21)",2022-02-19,Aadarsh Tripathi,13.01,Advik Mareedu,12.0,"7-6(6), 6-1",Aadarsh Tripathi
"NEWPORT BEACH $25,000 WILD CARD TOURNAMENT + $2000 PRIZE MONEY (FEB 19-21)",2022-02-19,Aadarsh Tripathi,13.01,Krish Arora,12.72,"6-4, 6-3",Aadarsh Tripathi
National Winter Championships,2022-01-03,Aadarsh Tripathi,13.01,Kian Vakili,12.55,"6-4, 4-1",Aadarsh Tripathi
National Winter Championships,2022-01-02,Aadarsh Tripathi,13.01,Noah Hernandez,12.0,"6-4, 6-4",Aadarsh Tripathi
National Winter Championships,2022-01-02,Aadarsh Tripathi,13.01,Nikita Filin,13.71,"6-2, 6-1",Aadarsh Tripathi
National Winter Championships,2022-01-01,Aadarsh Tripathi,13.01,Luke Bracks,11.94,"6-1, 6-3",Aadarsh Tripathi
National Winter Championships,2022-01-01,Aadarsh Tripathi,13.01,Masato Perera,12.0,"6-4, 6-1",Aadarsh Tripathi
National Winter Championships,2021-12-31,Aadarsh Tripathi,13.01,Nicholas Herdoiza,12.0,"7-5, 6-2",Aadarsh Tripathi
National Winter Championships,2021-12-31,Aadarsh Tripathi,13.01,Ajay Mahenthiran,11.0,"6-0, 6-1",Aadarsh Tripathi
National Winter Championships,2021-12-30,Aadarsh Tripathi,13.01,Ethan Silva,12.0,"2-6, 6-1, 1-0(8)",Aadarsh Tripathi
National Winter Championships,2021-12-30,Aadarsh Tripathi,13.01,Samuel Frizelle,11.0,,Aadarsh Tripathi
National Winter Championships,2021-12-29,Aadarsh Tripathi,13.01,Hudson Beaudoin,0.0,"6-4, 6-0",Aadarsh Tripathi
National Winter Championships,2021-12-28,Jose Garcia,13.0,Aadarsh Tripathi,13.01,"6-4, 7-5",Aadarsh Tripathi
PTT Newport Beach Men’s $25K Hard 12,2021-11-13,Zdeněk Děrkas,13.0,Aadarsh Tripathi,13.01,"7-6(5), 6-2",Aadarsh Tripathi
PTT Newport Beach Men’s $25K Hard 12,2021-11-12,Aadarsh Tripathi,13.01,Yassine Smiej,13.03,"2-6, 7-5, 6-2",Aadarsh Tripathi
PTT Sacramento Men’s $25K Hard 1,2021-10-09,Jan Silva,11.0,Aadarsh Tripathi,13.01,"7-6(2), 7-5",Aadarsh Tripathi
"THE 2021 KPSF OPEN: $50,000",2021-09-23,Raymond Sarmiento,13.0,Aadarsh Tripathi,13.01,"6-2, 6-1",Aadarsh Tripathi
"THE 2021 KPSF OPEN: $50,000",2021-09-22,Aadarsh Tripathi,13.01,Jeremy Field,10.0,"6-1, 6-3",Aadarsh Tripathi
USTA Boys' 16 & 18 National Championships,2021-08-10,Sachin palta,13.0,Aadarsh Tripathi,13.01,"3-6, 6-1, 1-0(4)",Aadarsh Tripathi
USTA Boys' 16 & 18 National Championships,2021-08-10,Aadarsh Tripathi,13.01,Aditya S Narayanan,0.0,"2-6, 6-3, 1-0(8)",Aadarsh Tripathi
USTA Boys' 16 & 18 National Championships,2021-08-09,Nicolas Ian Kotzen,13.32,Aadarsh Tripathi,13.01,"6-4, 7-6(3)",Aadarsh Tripathi
USTA Boys' 16 & 18 National Championships,2021-08-07,Aadarsh Tripathi,13.01,Gordon Whitwell,11.63,"6-2, 6-4",Aadarsh Tripathi
USTA Boys 18 & 16 National Clay Court Champs. Hosted by the City of Delray Beach,2021-07-16,John Kim,12.0,Aadarsh Tripathi,13.01,"1-4, 5-3, 1-0(5)",Aadarsh Tripathi
USTA Boys 18 & 16 National Clay Court Champs. Hosted by the City of Delray Beach,2021-07-14,Ryan Colby,13.54,Aadarsh Tripathi,13.01,"6-1, 6-4",Aadarsh Tripathi
